file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00553_0033_136595_to_144667,རྒྱལ་ཁབ་གཉིས་ཀྱི་བར་འགལ་ཟླ་དང་དམག་འཁྲུག་ཀྱང་ལན་མང་བྱུང་སྟེ། ཕྱོགས་གཉིས་ཀའི་མི་ཕྱུགས་སྟོང་ཕྲག་མང་པོའི་ཚེ་སྲོག་ཤོར་དགོས་གྱུར་ཡོད།  ,rgyal khab gnyis kyi bar 'gal zla dang dmag 'khrug kyang lan mang byung ste/_phyogs gnyis ka'i mi phyugs stong phrag mang po'i tshe srog shor dgos gyur yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00553_0033_136595_to_144667.wav,STT_AB,2,129,8.072,wav16k/STT_AB00553_0033_136595_to_144667.wav,རྒྱལ་ཁབ་གཉིས་ཀྱི་དབར་འགལ་ཟླ་དང་དམག་འཁྲུག་ཀྱང་ལན་མང་བྱུང་སྟེ། ཕྱོགས་གཉིས་ཀའི་མི་ཕྱུགས་སྟོང་ཕྲག་མང་པོའི་ཚེ་སྲོག་ཤོར་དགོས་གྱུར་ཡོད།
STT_AB00553_0035_147329_to_153489,རྒྱ་བོད་གཉིས་ཀྱི་གཡུལ་འཁྲུག་སྔ་ཕྱི་དེ་དག་གིས་ཕྱོགས་གཉིས་ཀའི་བདེ་འཇགས་ལ་ཚབས་ཆེའི་གནོད་སྐྱོན་བཟོ་བཞིན་ཡོད་པའི་ཐོག ,rgya bod gnyis kyi g.yul 'khrug snga phyi de dag gis phyogs gnyis ka'i bde 'jags la tshabs che'i gnod skyon bzo bzhin yod pa'i thog_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00553_0035_147329_to_153489.wav,STT_AB,2,112,6.16,wav16k/STT_AB00553_0035_147329_to_153489.wav,རྒྱ་བོད་གཉིས་ཀྱའི་གཡུལ་ཕྲུག་སྔ་ཕྱི་དེ་དག་གི་ཕྱོགས་གཉིས་ཀའི་བདེ་འཇགས་ལ་ཚབས་ཆེའི་གནོད་སྐྱོན་བཟོ་བཞིན་ཡོད་པའི་ཐོག
STT_AB00553_0036_154138_to_158523,མང་ཚོགས་ཀྱི་འཚོ་བ་ལ་ཡང་དོ་ཕོག་ཚབས་ཆེན་བྱུང་སྟེ། དཔལ་འབྱོར་དང་ ,mang tshogs kyi 'tsho ba la yang do phog tshabs chen byung ste/_dpal 'byor dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00553_0036_154138_to_158523.wav,STT_AB,2,62,4.385,wav16k/STT_AB00553_0036_154138_to_158523.wav,མང་ཚོགས་ཀྱི་འཚོ་བ་ལ་ཡང་དོ་བོག་ཚབས་ཆེན་བྱུང་སྟེ། དཔལ་འབྱོར་དང་།
STT_AB00521_0037_165571_to_173438,ཡུར་བ་དང་། སྐབས་འགར་ལོ་མ་དང་རླུང་པོས་ཤབ་ཤུབ་ཀྱི་སྒྲས་དེ་ཉིད་དཀྲོག་པར་བྱེད་ཀྱི་ཡོད།  ,yur ba dang /_skabs 'gar lo ma dang rlung pos shab shub kyi sgras de nyid dkrog par byed kyi yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00521_0037_165571_to_173438.wav,STT_AB,2,84,7.867,wav16k/STT_AB00521_0037_165571_to_173438.wav,ཡུར་བ་དང་། སྐབས་འགར་ལོ་མ་དང་རླུང་པོས་ཤ་ཤུབ་ཀྱི་སྒྲས། དེ་ཉིད་དཀྲོག་པར་བྱེད་ཀྱི་ཡོད།
STT_AB00521_0039_178011_to_185025,དེ་ལྟ་བུའི་མཚན་མོ་ལོ་ནས་ལོ་བསྐྱལ་བས་ལྗོན་བཟང་ཡང་ཤིང་སྡོང་ཆེན་པོ་ཞིག་ཏུ་གྱུར།  ,de lta bu'i mtshan mo lo nas lo bskyal bas ljon bzang yang shing sdong chen po zhig tu gyur/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00521_0039_178011_to_185025.wav,STT_AB,2,78,7.014,wav16k/STT_AB00521_0039_178011_to_185025.wav,དེ་ལྟ་བུའི་མཚན་མོ་ལོ་ནས་ལོག་རྒྱལ་བས། ལྗོན་བཟང་ཡང་ཤིང་སྡོང་ཆེན་པོ་ཞིག་ཏུ་གྱུར།
STT_AB00317_1736_5956595_to_5961561,སྐྱེ་བ་མེད་པ་ལ་སྤྱོད་ན་ཤེར་ཕྱིན་ལ་མི་སྤྱད་པར་གསུངས་པས་ཕན་ཚུན་འགལ་བར་འགྱུར་རོ།  ,skye ba med pa la spyod na sher phyin la mi spyad par gsungs pas phan tshun 'gal bar 'gyur ro/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00317_1736_5956595_to_5961561.wav,STT_AB,2,79,4.966,wav16k/STT_AB00317_1736_5956595_to_5961561.wav,སྐྱེ་བ་མེད་པ་ལ་སྤྱོད་ན་ཤེར་ཕྱིན་ལ་མི་སྤྱོད་པར་གསུངས་པས་ཕན་ཚུན་འགལ་བར་འགྱུར་རོ།
STT_AB00553_0039_172226_to_181800,སྐབས་ཤིག་ནས་རྒྱལ་ཁབ་སོ་སོའི་ཞི་བའི་མང་ཚོགས་རྣམས་དམག་འཁྲུག་ལ་སུན་སྣང་སྐྱེས་ཏེ། གཡུལ་འཁྲུག་མེད་པའི་ཞི་བདེ་ལྷིང་འཇགས་ཀྱི་འཚོ་བ་ལ་ཡིད་སྨོན་ཆེན་པོ་བྱེད་ཀྱི་ཡོད་པ་རེད།  ,skabs shig nas rgyal khab so so'i zhi ba'i mang tshogs rnams dmag 'khrug la sun snang skyes te/_g.yul 'khrug med pa'i zhi bde lhing 'jags kyi 'tsho ba la yid smon chen po byed kyi yod pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00553_0039_172226_to_181800.wav,STT_AB,2,163,9.574,wav16k/STT_AB00553_0039_172226_to_181800.wav,སྐབས་ཤིག་ནས་རྒྱལ་ཁབ་སོ་སོའི་ཞི་བའི་མང་ཚོགས་རྣམས། དམག་འཁྲུག་ལ་སུན་སྣང་སྐྱེས་ཏེ། གཡུལ་ཕྲུག་མེད་པའི་ཞི་བདེ་ལྷིང་འཇགས་ཀྱི་འཚོ་བ་ལ་ཡིད་སྨོན་ཆེན་པོ་བྱེད་ཀྱི་ཡོད་པ་རེད།
STT_AB00473_0106_419769_to_430110,སྐབས་རེར་ཉིན་གཅིག་ལ་རེའུ་དང་ལུ་གུ་གཉིས་གསུམ་དེ་འདྲ་སྐྱེས་པའི་སྐབས་སུ། ལུ་གུ་དང་རེའུ་རེ་གཉིས་རྫི་ཁུག་ཏུ་བླུགས་ནས་འཁྱེར་འོང་གི་ཡོད།  ,skabs rer nyin gcig la re'u dang lu gu gnyis gsum de 'dra skyes pa'i skabs su/_lu gu dang re'u re gnyis rdzi khug tu blugs nas 'khyer 'ong gi yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00473_0106_419769_to_430110.wav,STT_AB,2,131,10.341,wav16k/STT_AB00473_0106_419769_to_430110.wav,སྐབས་རེར་ཉིན་གཅིག་ལ་རེའུ་དང་ལུ་གུ་གཉིས་གསུམ་དེ་འདྲ་སྐྱེས་པའི་སྐབས་སུ། ལུ་གུ་དང་རེའུ་རེ་གཉིས་རྫི་ཁུག་ཏུ་བླུགས་ནས་འཁྱེར་འོང་གི་ཡོད།
STT_AB00556_0048_269035_to_270213,བཙན་པོ་རལ་པ་ཅན་གྱིས་ ,btsan po ral pa can gyis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00556_0048_269035_to_270213.wav,STT_AB,2,21,1.178,wav16k/STT_AB00556_0048_269035_to_270213.wav,བཙན་པོ་རལ་པ་ཅན་གྱིས།
STT_AB00317_1738_5966578_to_5975844,སྟོང་མི་སྟོང་དང་བདག་ཡོད་མེད་སོགས་གང་དུ་ཡང་མི་གཟུང་བར་གསུངས་པའི་ལུང་འགའ་ཞིག་ལ་འཁྲུལ་བས་བདག་མེད་པའི་ལྟ་བ་སྐྱོང་ལུགས་ཀྱི་གེགས་ཆེན་པོར་སོང་བ་ ,stong mi stong dang bdag yod med sogs gang du yang mi gzung bar gsungs pa'i lung 'ga' zhig la 'khrul bas bdag med pa'i lta ba skyong lugs kyi gegs chen por song ba _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00317_1738_5966578_to_5975844.wav,STT_AB,2,138,9.266,wav16k/STT_AB00317_1738_5966578_to_5975844.wav,སྟོང་མི་གཏོང་དང་བདག་ཡོད་མེད་སོགས་གང་དུཡང་མི་གཟུང་བར་གསུངས་པའི་ལུགས་འགའ་ཞིག་ལ་འཁྲུལ་བས། བདག་མེད་པའི་ལྟ་བ་སྐྱོང་ལུགས་ཀྱི་གེགས་ཆེན་པོར་སོང་བ་
